relative_path	role	bytes	sha256
.gitignore	other_documentation	555	02ecef8ac99483bb3402b2323a05dad45cd59febea2393977923d3c5e856707b
CITATION.cff	release_metadata	1047	657a29c318aefae76fe214107dbe4843acf9fee7798e56cb3fbd00b2718b0bb6
DATA_INPUTS.md	workflow_documentation	3307	8d1cd69c28ae630f8bf261111f745c821a5afd812a098ebf41b8276fe67f6047
ISCIENCE_REVISION_20260711/aef/extract_exact_id_aef_embeddings_20260718_224936.py	analysis_code	17945	0852fb3d1c827b2361f03b89ea66d0daecdfeabcfbca498ea5c36cc9541e02b1
ISCIENCE_REVISION_20260711/aef/recompute_full_aef_pfam_analysis_20260718_222823.py	analysis_code	32133	de3799ab0f9490667e28ab025cfa0ca0fefd01df5ae5724149f95ef71232de4c
ISCIENCE_REVISION_20260711/analysis_stats/run_robustness_20260711_085930.py	analysis_code	119701	fe03158712ede63646f44c7c1268e163cc77c7f4613270bc885c82aa3211c3ab
ISCIENCE_REVISION_20260711/annotations/fetch_priority_interpro_20260711_114039.py	analysis_code	3319	41066b8672d1ec583d1374959f7597646cd18b6710e6e7efe2dca3fcd4daec74
ISCIENCE_REVISION_20260711/figure3_126/rebuild_figure3_recorded_metadata_20260718_223224.py	analysis_code	47114	55b4d6fec3732f1d141fafc2934f418412c2971a6880e28eac0ac32d088e69df
ISCIENCE_REVISION_20260711/figure4_126/rebuild_figure4_126_20260715_232158.py	analysis_code	61027	e340ac8bb7d5b62703787e65580021e24e72b43834f16f636a70ea103c0e2931
ISCIENCE_REVISION_20260711/figures/build_revised_figure1_layout_v2_20260712_165119.py	figure_or_table_support_code	6509	c1d108bedb150e7d4a10d28a9620a2c014ac31cb906d7552e4287d406f10861a
ISCIENCE_REVISION_20260711/gee_validation/extract_exact_id_gee_validation_20260712_071838.py	analysis_code	12437	6474e6d0311969e046c692f2655d8b2c5ae02fd076c293878bed1bae0947eb58
ISCIENCE_REVISION_20260711/gee_validation/run_exact_id_gee_correlation_validation_20260712_072151.py	analysis_code	14385	af2643031a9f012cceb6896c62cdb322c8ae0a9dea9bdcce6bc66f4b67957ae7
ISCIENCE_REVISION_20260711/integrity/audit_data_integrity_20260711_105756.py	integrity_or_provenance_code	68717	14592518a192fed39ebf7c65f4488cb5dd3c60b5b603eb699730cade361b1344
ISCIENCE_REVISION_20260711/integrity/audit_hmm_headers_20260711_123302.py	integrity_or_provenance_code	5032	8f9fdce63241c23e2380b25c555c7804973a5af961802f8765e6d68c5dcf4dbd
ISCIENCE_REVISION_20260711/integrity/generate_uae_collection_metadata_audit_20260711_130525.py	integrity_or_provenance_code	35920	3d050316fc9c6a96848a27fe7b41904e1d8d00221d99073637c5ff019e211fb2
ISCIENCE_REVISION_20260711/pf00092_midas/test_pf00092_midas_20260715_232919.py	analysis_code	38643	9c245129cdf201e63eab815f0936da28a78169c822e4da88ce6f8af85111552d
ISCIENCE_REVISION_20260711/spatial/render_sampling_map_layout_v2_20260712_165119.py	analysis_code	17762	f6e65ebc68a88de8191f9ef7a9bfa3443844a74eb7a3e949dfe43432bf4de937
ISCIENCE_REVISION_20260711/supplement/build_corrected_table_s3_20260718_224354.py	figure_or_table_support_code	16184	92718491510085f18cd08128acf0262670feefaeea868b8959d20a49ba1c0c62
ISCIENCE_REVISION_20260711/supplement/build_figure_s3_posthoc_sensitivity_checks_20260713_100151.py	figure_or_table_support_code	18943	c07f1c22af9aa48b08f085f2a7ea74642773039ee7b1b6ad27bcc983508bcf8f
ISCIENCE_REVISION_20260711/supplement/build_figure_s3_supporting_package_20260711_175934.py	figure_or_table_support_code	19936	15582c1d15876b4549e52e00bf808040939bfffe77e899f70f2cfc0e61b27779
ISCIENCE_REVISION_20260711/supplement/build_revised_table_s1_20260712_065819.py	figure_or_table_support_code	14215	d5e1a67f15e6319faabc83cb1a2c5a2457c73cf73c16559a8d15c0a5132d27c7
ISCIENCE_REVISION_20260711/supplement/build_revised_table_s2_20260712_072443.py	figure_or_table_support_code	9264	9bf71f829c149c729402a1c229be44096e40368c1210e6b88a7fb80a10712500
LICENSE	release_metadata	1072	e7ec90665c57d770bf10dc242892848c925658d6a5b6c3187bbec871f860ed40
MANUAL_STEPS.md	workflow_documentation	1623	34505a87abb9096591082eabb3d240cadf96364107b8032eb2ea689a0c06ad01
README.md	workflow_documentation	5448	807bd5899db8d3c61b7120e1471c7abd795094140604e899e28630ef65ae3e78
SCIENTIFIC_INTEGRITY.md	other_documentation	1033	4edf78c966f8da63503fcfa518b60e93adc2e4f84845a844d1248830b0eea803
SOFTWARE_CITATIONS.md	software_documentation	4605	70a6fb5955ed2926a4eb3fa1bd4de0ab7bce79fb8e6a485ba0943cb594d82e76
SOFTWARE_ENVIRONMENTS.md	software_documentation	1801	4f197e5ca9ff1d6b498b3552b6fac71b98208d55dc6bda72679f6fe3310fa381
provenance/build_public_release_manifest_20260718_225156.py	analysis_code	8548	fc564bec3ae19a40c4fe8c5239aecba59f21c052e456a495569bc8277cb07a4b
requirements.txt	other_documentation	363	4bc6840c8d70393579dcad0ebadb7d4bb3b24dd425d5c8f268b13f0e9a91af7c
triangulation/scripts/build_phylogenetic_tree_20251117.py	analysis_code	4339	327bc963df498a6f76f030cccdbd4f08041beb8fe9c4bd0180aa258a07c5a7d6
